dataset,variant,seed,regime_name,regime_side,IC,RankIC,Precision@10,Sharpe,num_days
nasdaq,full,0,market_volatility,low,0.01719401217997074,0.020874422897294676,0.052100833505392075,-0.44534124326581204,119
nasdaq,full,0,market_volatility,high,0.03537823813493853,0.03666281402288636,0.047457627952098846,2.1854427712590163,118
nasdaq,full,0,pca_ratio,low,0.014705865596961073,0.017066689717528085,0.05546218529343605,-0.7675989498955,119
nasdaq,full,0,pca_ratio,high,0.037887470705939806,0.04050281612790521,0.04406780004501343,2.6816172917376404,118
nasdaq,full,0,cross_sectional_dispersion,low,0.014397073780703006,0.015506687027230045,0.05042016878724098,2.1815976368977927,119
nasdaq,full,0,cross_sectional_dispersion,high,0.03819887940199667,0.04207603917998544,0.049152545630931854,-0.23814951013820998,118
nasdaq,full,0,market_trend,up_or_flat,0.029515540142961608,0.02838229134176513,0.04803149029612541,1.6469499968344294,127
nasdaq,full,0,market_trend,down,0.022474963192574002,0.029142885264313505,0.051818180829286575,0.1676077764366163,110
nasdaq,static,0,market_volatility,low,0.021220294682371642,0.02146972733219115,0.06050420179963112,-0.3168333685582862,119
nasdaq,static,0,market_volatility,high,0.03983221006933876,0.03772855601327738,0.05593220144510269,2.609955844003396,118
nasdaq,static,0,pca_ratio,low,0.018957508892259178,0.01792409775109508,0.06218487024307251,-0.8560948914915669,119
nasdaq,static,0,pca_ratio,high,0.04211417201021489,0.04130423330268783,0.05423728749155998,3.3869892549517124,118
nasdaq,static,0,cross_sectional_dispersion,low,0.017827130005227308,0.01623284968399803,0.059663865715265274,2.068566054285518,119
nasdaq,static,0,cross_sectional_dispersion,high,0.04325413037934025,0.04300981398052299,0.056779660284519196,0.40316675848135425,118
nasdaq,static,0,market_trend,up_or_flat,0.033764082294710965,0.02996308546683817,0.05196850374341011,1.9507987989078786,127
nasdaq,static,0,market_trend,down,0.026703430945053695,0.02910504825280937,0.06545454263687134,0.37062800813582875,110
