dataset,variant,seed,IC,RankIC,ICIR,Precision@10,Sharpe,best_epoch
nasdaq,context_only,0,0.027135891420481197,0.032943018986747744,0.2727555989326824,0.051054853945970535,0.21517092425967926,10
nasdaq,context_only,1,0.014845040615679714,0.01899386297546441,0.1473360011490274,0.06033755838871002,0.8002500627729155,1
nasdaq,full,0,0.017866940256493078,0.015123949595923508,0.20927751548902895,0.04135020822286606,1.3037402748402667,30
nasdaq,full,1,0.016613698650921698,0.01140627281972156,0.21478281410535832,0.0569620244204998,1.7982076649869836,30
nasdaq,moe,0,0.020177886562956347,0.017249198403331757,0.2151317402732677,0.053164560347795486,1.2831176895224548,27
nasdaq,moe,1,0.02455811420178536,0.02229730269021501,0.267914264729958,0.05780590698122978,1.078793171159366,30
nasdaq,single_gate,0,0.026389272908094626,0.031345433955260585,0.264629589786656,0.051898736506700516,0.6546379568313988,4
nasdaq,single_gate,1,0.02803239644380318,0.03275938520629454,0.28224836796025854,0.05443037673830986,1.1019082763704235,3
nasdaq,static,0,0.03613502170729946,0.031091654429504848,0.3833066467965916,0.038396626710891724,-0.321750431992548,6
nasdaq,static,1,0.032551470037401393,0.030934439216015013,0.3382860666443488,0.05400843918323517,0.37695042497636044,9
