dataset,variant,seed,device_resolved,num_params,train_log_epochs,time_per_epoch_sec,gpu_memory_peak,RankIC
nasdaq,context_only,0,cuda,41945,30,12.72698279666644,114.462890625,0.005590029653723702
nasdaq,context_only,1,cuda,41945,30,12.66703987999972,114.462890625,0.00963615824788387
nasdaq,full,0,cuda,318640,30,17.79212318000027,121.26220703125,0.008984379642728304
nasdaq,full,1,cuda,318640,30,17.70606375999984,121.26220703125,0.01754166980279916
nasdaq,moe,0,cuda,308845,30,15.250580193333613,119.875,0.018260152109865226
nasdaq,moe,1,cuda,308845,30,15.208106233333698,119.875,0.014456050454752858
nasdaq,single_gate,0,cuda,107677,30,13.710013509999772,116.0009765625,0.008302591719963285
nasdaq,single_gate,1,cuda,107677,30,13.700724386666844,116.0009765625,0.018049688717243037
nasdaq,static,0,cuda,103055,30,12.678665379999803,115.677734375,0.01403597139673335
nasdaq,static,1,cuda,103055,30,12.62923231666658,115.677734375,0.01540109176406802
